42496	Размер файла
3.8559017553077126	Энтропия
Байт	Частота
0	20111
4	6420
32	1604
255	1407
62	704
48	550
53	508
61	429
56	398
66	379
59	374
65	361
64	331
58	286
50	285
67	215
54	206
60	204
63	203
52	201
51	201
6	197
44	167
3	165
79	158
13	148
49	145
75	145
2	140
250	133
1	132
76	123
55	116
7	115
46	110
57	104
71	96
101	89
22	86
72	83
69	75
16	73
109	73
116	67
8	62
21	61
97	58
78	57
110	57
27	56
45	54
73	53
26	52
30	51
34	50
104	49
114	49
20	48
5	48
108	46
99	45
24	44
70	44
111	44
240	43
115	41
47	41
148	39
15	38
12	38
33	37
74	37
120	37
224	36
18	36
102	35
105	35
9	34
31	33
118	33
144	32
10	31
23	30
28	29
17	28
29	28
77	27
25	27
11	27
158	27
80	26
14	26
210	26
86	25
68	25
19	25
103	25
185	24
36	24
132	24
230	23
95	23
254	22
93	22
100	22
238	22
84	22
176	22
229	22
38	21
170	20
204	20
232	20
168	20
200	20
201	20
249	20
129	19
81	19
40	19
150	19
214	19
253	19
117	19
83	19
87	19
237	19
225	18
98	18
137	18
198	18
219	18
112	18
88	18
246	18
127	18
106	17
235	17
142	17
174	17
160	17
226	17
146	17
113	17
195	17
227	17
205	17
213	17
208	16
161	16
94	16
152	16
247	16
131	16
217	16
189	16
136	16
165	15
191	15
141	15
188	15
138	15
35	15
196	15
82	15
186	15
107	15
145	15
211	15
119	15
171	15
207	14
177	14
236	14
85	14
212	14
172	14
228	14
39	14
140	14
223	14
192	14
128	14
242	14
89	14
121	14
167	14
135	14
209	14
239	14
187	14
159	14
155	14
42	14
233	13
183	13
241	13
156	13
37	13
244	13
130	13
43	13
123	13
221	13
218	12
194	12
231	12
222	12
162	12
134	12
91	12
203	12
178	12
199	12
175	12
180	12
143	12
193	11
163	11
182	11
164	11
126	11
124	11
216	11
122	10
190	10
96	10
252	10
173	10
139	10
197	10
234	10
243	9
206	9
220	9
248	9
153	9
154	9
215	9
166	9
151	9
41	8
90	8
181	8
202	8
245	8
125	8
92	8
147	8
179	7
133	7
184	6
149	6
157	6
169	5
251	4
